rank,name,score,release_date,types,regions
1,肖申克的救赎,9.7,1994,"犯罪,剧情",美国
2,霸王别姬,9.6,1993,"剧情,爱情,同性","中国大陆, 中国香港"
3,美丽人生,9.6,2020,"剧情,喜剧,爱情,战争",意大利
4,辛德勒的名单,9.6,1993,"剧情,历史,战争",美国
5,控方证人,9.6,1957,"剧情,犯罪,悬疑",美国
6,阿甘正传,9.5,1994,"剧情,爱情",美国
7,泰坦尼克号,9.5,1998,"剧情,爱情,灾难","美国, 墨西哥, 澳大利亚, 加拿大"
8,这个杀手不太冷,9.4,1994,"剧情,动作,犯罪","法国, 美国"
9,千与千寻,9.4,2019,"剧情,动画,奇幻",日本
10,盗梦空间,9.4,2010,"剧情,科幻,悬疑,冒险","美国, 英国"
11,星际穿越,9.4,2014,"剧情,科幻,冒险","美国, 英国, 加拿大"
12,楚门的世界,9.4,1998,"剧情,科幻",美国
13,忠犬八公的故事,9.4,2009,剧情,"美国, 英国"
14,熔炉,9.4,2011,剧情,韩国
15,大闹天宫,9.4,1961,"剧情,动画,奇幻,古装",中国大陆
16,十二怒汉,9.4,1957,剧情,美国
17,无间道,9.3,2003,"剧情,犯罪,惊悚",中国香港
18,茶馆,9.5,1982,"剧情,历史",中国大陆
19,海上钢琴师,9.3,2019,"剧情,音乐",意大利
20,末代皇帝,9.3,1987,"剧情,传记,历史","英国, 意大利, 中国大陆, 法国"
21,活着,9.3,1994,"剧情,历史,家庭","中国大陆, 中国香港"
22,背靠背，脸对脸,9.5,1994,剧情,"中国大陆, 中国香港"
23,放牛班的春天,9.3,2004,"剧情,音乐","法国, 瑞士, 德国"
24,鬼子来了,9.3,2000,"剧情,喜剧",中国大陆
25,触不可及,9.3,2011,"剧情,喜剧",法国
26,教父,9.3,1972,"剧情,犯罪",美国
27,指环王3：王者无敌,9.3,2004,"剧情,动作,奇幻,冒险","美国, 新西兰"
28,乱世佳人,9.3,1939,"剧情,历史,爱情,战争",美国
29,素媛,9.3,2013,剧情,韩国
30,钢琴家,9.3,2002,"剧情,传记,战争,音乐","英国, 法国, 波兰, 德国"
31,海蒂和爷爷,9.3,2019,"剧情,冒险,家庭","德国, 瑞士"
32,教父2,9.3,1974,"剧情,犯罪",美国
33,三傻大闹宝莱坞,9.2,2011,"剧情,喜剧,爱情,歌舞",印度
34,当幸福来敲门,9.2,2008,"剧情,传记,家庭",美国
35,泰坦尼克号 3D版,9.4,2012,"剧情,爱情,灾难",美国
36,饮食男女,9.2,1994,"剧情,家庭","中国台湾, 美国"
37,蝙蝠侠：黑暗骑士,9.2,2008,"剧情,动作,科幻,犯罪,惊悚","美国, 英国"
38,指环王2：双塔奇兵,9.2,2003,"剧情,动作,奇幻,冒险","美国, 新西兰"
39,死亡诗社,9.2,1989,剧情,美国
40,摩登时代,9.3,1936,"剧情,喜剧,爱情",美国
