films,scores,film_time,arrts,counties
肖申克的救赎,9.7,1994,"犯罪,剧情",美国
霸王别姬,9.6,1993,"剧情,爱情,同性","中国大陆, 中国香港"
美丽人生,9.6,2020,"剧情,喜剧,爱情,战争",意大利
辛德勒的名单,9.6,1993,"剧情,历史,战争",美国
控方证人,9.6,1957,"剧情,犯罪,悬疑",美国
阿甘正传,9.5,1994,"剧情,爱情",美国
泰坦尼克号,9.5,1998,"剧情,爱情,灾难","美国, 墨西哥, 澳大利亚, 加拿大"
这个杀手不太冷,9.4,1994,"剧情,动作,犯罪","法国, 美国"
千与千寻,9.4,2019,"剧情,动画,奇幻",日本
盗梦空间,9.4,2010,"剧情,科幻,悬疑,冒险","美国, 英国"
星际穿越,9.4,2014,"剧情,科幻,冒险","美国, 英国, 加拿大"
楚门的世界,9.4,1998,"剧情,科幻",美国
忠犬八公的故事,9.4,2009,剧情,"美国, 英国"
熔炉,9.4,2011,剧情,韩国
大闹天宫,9.4,1961,"剧情,动画,奇幻,古装",中国大陆
十二怒汉,9.4,1957,剧情,美国
无间道,9.3,2003,"剧情,犯罪,惊悚",中国香港
茶馆,9.5,1982,"剧情,历史",中国大陆
海上钢琴师,9.3,2019,"剧情,音乐",意大利
末代皇帝,9.3,1987,"剧情,传记,历史","英国, 意大利, 中国大陆, 法国"
活着,9.3,1994,"剧情,历史,家庭","中国大陆, 中国香港"
背靠背，脸对脸,9.5,1994,剧情,"中国大陆, 中国香港"
放牛班的春天,9.3,2004,"剧情,音乐","法国, 瑞士, 德国"
鬼子来了,9.3,2000,"剧情,喜剧",中国大陆
触不可及,9.3,2011,"剧情,喜剧",法国
教父,9.3,1972,"剧情,犯罪",美国
指环王3：王者无敌,9.3,2004,"剧情,动作,奇幻,冒险","美国, 新西兰"
乱世佳人,9.3,1939,"剧情,历史,爱情,战争",美国
素媛,9.3,2013,剧情,韩国
钢琴家,9.3,2002,"剧情,传记,战争,音乐","英国, 法国, 波兰, 德国"
海蒂和爷爷,9.3,2019,"剧情,冒险,家庭","德国, 瑞士"
教父2,9.3,1974,"剧情,犯罪",美国
三傻大闹宝莱坞,9.2,2011,"剧情,喜剧,爱情,歌舞",印度
当幸福来敲门,9.2,2008,"剧情,传记,家庭",美国
泰坦尼克号 3D版,9.4,2012,"剧情,爱情,灾难",美国
饮食男女,9.2,1994,"剧情,家庭","中国台湾, 美国"
蝙蝠侠：黑暗骑士,9.2,2008,"剧情,动作,科幻,犯罪,惊悚","美国, 英国"
指环王2：双塔奇兵,9.2,2003,"剧情,动作,奇幻,冒险","美国, 新西兰"
死亡诗社,9.2,1989,剧情,美国
摩登时代,9.3,1936,"剧情,喜剧,爱情",美国
天堂电影院,9.2,2021,"剧情,爱情","意大利, 法国"
辩护人,9.2,2013,剧情,韩国
窃听风暴,9.2,2006,"剧情,悬疑",德国
穿条纹睡衣的男孩,9.2,2008,"剧情,战争","英国, 美国"
少年派的奇幻漂流,9.1,2012,"剧情,奇幻,冒险","美国, 中国台湾, 英国, 加拿大"
高山下的花环,9.5,1985,"剧情,战争",中国大陆
美国往事,9.2,1984,"犯罪,剧情","美国, 意大利"
小鞋子,9.2,1997,"剧情,儿童,家庭",伊朗
怦然心动,9.1,2010,"剧情,喜剧,爱情",美国
飞屋环游记,9.1,2009,"剧情,喜剧,动画,冒险",美国
何以为家,9.1,2019,剧情,"黎巴嫩, 美国, 法国, 塞浦路斯, 卡塔尔, 英国"
猫鼠游戏,9.1,2003,"传记,犯罪,剧情","美国, 加拿大"
罗马假日,9.1,1953,"喜剧,剧情,爱情",美国
闻香识女人,9.1,1992,剧情,美国
指环王1：护戒使者,9.1,2002,"剧情,动作,奇幻,冒险","新西兰, 美国"
七武士,9.3,1954,"动作,冒险,剧情",日本
美丽心灵,9.1,2001,"传记,剧情",美国
一一,9.1,2000,"剧情,爱情,家庭","中国台湾, 日本"
拯救大兵瑞恩,9.1,1998,"剧情,战争",美国
音乐之声,9.1,1965,"剧情,传记,爱情,歌舞",美国
两杆大烟枪,9.1,1998,"剧情,喜剧,犯罪",英国
横空出世,9.4,1999,"剧情,历史",中国大陆
飞越疯人院,9.1,1975,剧情,美国
我不是药神,9.0,2018,"剧情,喜剧",中国大陆
让子弹飞,9.0,2010,"剧情,喜剧,动作,西部","中国大陆, 中国香港"
芙蓉镇,9.2,1987,"剧情,爱情",中国大陆
狩猎,9.1,2012,剧情,"丹麦, 瑞典"
摔跤吧！爸爸,9.0,2017,"剧情,传记,运动,家庭",印度
春光乍泄,9.0,1997,"剧情,爱情,同性","中国香港, 日本, 韩国"
本杰明·巴顿奇事,9.0,2008,"剧情,爱情,奇幻",美国
城市之光,9.3,1931,"喜剧,剧情,爱情",美国
搏击俱乐部,9.0,1999,"剧情,动作,悬疑,惊悚","美国, 德国, 意大利"
无人知晓,9.1,2004,剧情,日本
忠犬八公物语,9.2,1987,剧情,日本
完美的世界,9.1,1993,"剧情,犯罪",美国
喜宴,9.0,1993,"剧情,喜剧,爱情,同性,家庭","中国台湾, 美国"
超脱,9.0,2011,剧情,美国
